                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.79328,                 1.7847,                   1.04,                0.67254,                0.41192,                0.54738,                0.48127,                0.62429,                0.84438,                0.90231,              0.0033307,              0.0033307,              0.0033307
                      2,                0.78701,                0.98202,                 1.0184,                0.53742,                0.37872,                0.46885,                0.39473,                0.73692,                 1.0328,                0.95474,               0.006631,               0.006631,               0.006631
                      3,                0.89661,                 1.0842,                 1.0683,                 0.6239,                 0.4208,                0.53723,                 0.4228,                0.87804,                 1.0944,                 1.0312,              0.0098984,              0.0098984,              0.0098984
                      4,                 0.9539,                 1.1442,                 1.0974,                0.60086,                0.42071,                0.52393,                0.41656,                0.82971,                  1.006,                  1.015,              0.0098515,              0.0098515,              0.0098515
                      5,                0.90588,                 1.0315,                 1.0746,                0.66452,                0.45354,                0.57137,                0.46614,                0.76469,                0.91602,                0.98041,              0.0098515,              0.0098515,              0.0098515
                      6,                0.86831,                0.95228,                 1.0565,                0.67391,                0.44202,                0.56866,                0.46839,                0.74786,                0.89595,                0.97199,               0.009802,               0.009802,               0.009802
                      7,                0.84197,                0.90198,                 1.0417,                0.68466,                0.49186,                0.60237,                0.50379,                0.71773,                0.83285,                0.96794,              0.0097525,              0.0097525,              0.0097525
                      8,                0.81499,                0.84899,                 1.0301,                0.65854,                0.53794,                0.61988,                0.52317,                0.68286,                0.76312,                0.94426,               0.009703,               0.009703,               0.009703
                      9,                0.79866,                 0.8135,                 1.0217,                0.70171,                0.50167,                 0.6161,                 0.5233,                 0.6823,                 0.7743,                0.95024,              0.0096535,              0.0096535,              0.0096535
                     10,                0.78108,                0.78571,                 1.0123,                0.69028,                0.55554,                0.63982,                0.54649,                0.66655,                0.72955,                0.93719,               0.009604,               0.009604,               0.009604
                     11,                0.76819,                0.76621,                 1.0083,                0.70832,                0.54093,                0.63994,                0.55952,                0.63935,                0.70665,                0.93076,              0.0095545,              0.0095545,              0.0095545
                     12,                0.75682,                0.73649,                 1.0019,                0.67013,                0.56722,                0.64154,                0.55377,                0.62811,                0.66124,                0.92406,               0.009505,               0.009505,               0.009505
                     13,                0.74745,                0.71676,                0.99705,                0.69123,                0.56734,                0.64639,                 0.5614,                0.61129,                0.67632,                0.91644,              0.0094555,              0.0094555,              0.0094555
                     14,                0.73572,                0.70833,                0.99249,                0.77916,                0.59041,                0.70403,                0.59597,                0.59965,                0.64449,                0.90605,               0.009406,               0.009406,               0.009406
                     15,                0.72854,                0.68577,                0.98986,                0.78872,                0.61205,                0.71419,                0.62469,                0.59025,                0.63165,                0.90398,              0.0093565,              0.0093565,              0.0093565
                     16,                0.71901,                0.67733,                0.98512,                0.76431,                0.64712,                 0.7293,                0.64096,                 0.5838,                0.60843,                0.90478,               0.009307,               0.009307,               0.009307
                     17,                0.71307,                  0.673,                 0.9841,                0.78089,                0.60857,                0.71284,                0.62872,                0.57455,                0.58824,                0.89942,              0.0092575,              0.0092575,              0.0092575
                     18,                0.70802,                0.65972,                0.97922,                0.75529,                 0.6321,                0.71417,                0.62846,                0.57484,                 0.6032,                0.90161,               0.009208,               0.009208,               0.009208
                     19,                0.70276,                0.64421,                 0.9768,                0.77974,                0.62351,                0.71964,                0.64356,                 0.5613,                0.60051,                0.89325,              0.0091585,              0.0091585,              0.0091585
