                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.79547,                 1.7902,                 1.0384,                0.62149,                0.38575,                0.50657,                0.44271,                0.62489,                0.90097,                0.90241,              0.0033307,              0.0033307,              0.0033307
                      2,                0.78424,                0.97565,                 1.0169,                0.62623,                0.42903,                0.53659,                0.44866,                0.71649,                 0.9591,                0.94826,               0.006631,               0.006631,               0.006631
                      3,                0.89401,                 1.0894,                 1.0637,                0.58988,                0.37999,                0.49798,                0.38907,                0.86779,                 1.1536,                 1.0247,              0.0098984,              0.0098984,              0.0098984
                      4,                0.95897,                 1.1575,                 1.0996,                0.59255,                0.38199,                 0.4908,                0.40976,                0.81763,                  1.014,                 1.0119,              0.0098515,              0.0098515,              0.0098515
                      5,                 0.9122,                 1.0409,                 1.0773,                0.67149,                0.45849,                0.57268,                0.46399,                0.77498,                0.89995,                0.99096,              0.0098515,              0.0098515,              0.0098515
                      6,                0.86789,                0.95447,                 1.0563,                0.66367,                0.47951,                0.58508,                0.47822,                0.75685,                0.90901,                 0.9753,               0.009802,               0.009802,               0.009802
                      7,                 0.8386,                0.89322,                 1.0411,                0.67662,                0.49837,                0.59984,                0.50497,                0.71827,                0.83212,                0.96104,              0.0097525,              0.0097525,              0.0097525
                      8,                0.81643,                0.85141,                   1.03,                0.68819,                0.52494,                0.62552,                0.53277,                0.69597,                0.77601,                0.95902,               0.009703,               0.009703,               0.009703
                      9,                0.79553,                0.82002,                 1.0236,                0.69132,                0.53062,                0.63092,                 0.5261,                0.66623,                0.76491,                0.93672,              0.0096535,              0.0096535,              0.0096535
                     10,                0.78356,                0.78823,                 1.0128,                0.70434,                0.54951,                0.63816,                0.55308,                0.65118,                0.71446,                0.92683,               0.009604,               0.009604,               0.009604
                     11,                0.76429,                0.76536,                 1.0056,                0.72199,                0.56282,                0.65861,                0.56456,                0.63855,                0.67196,                0.92203,              0.0095545,              0.0095545,              0.0095545
                     12,                0.75421,                0.73537,                 1.0003,                0.69739,                0.57647,                0.65286,                0.55957,                0.61936,                0.65318,                0.91206,               0.009505,               0.009505,               0.009505
                     13,                0.74326,                0.71932,                0.99568,                0.75806,                0.57137,                0.68391,                0.59601,                0.60189,                 0.6632,                0.90704,              0.0094555,              0.0094555,              0.0094555
                     14,                0.73804,                0.70319,                0.99294,                0.75533,                0.59465,                0.69663,                0.60588,                0.60351,                0.65332,                0.90764,               0.009406,               0.009406,               0.009406
                     15,                0.73089,                0.69219,                0.98749,                0.73676,                0.60597,                  0.688,                0.59975,                 0.5905,                0.62907,                 0.9037,              0.0093565,              0.0093565,              0.0093565
                     16,                  0.718,                0.66979,                0.98451,                0.76606,                0.64545,                0.72455,                 0.6426,                0.58785,                0.62316,                0.90027,               0.009307,               0.009307,               0.009307
                     17,                0.71424,                0.66595,                0.98201,                0.79171,                0.63271,                0.72567,                0.63074,                0.57771,                0.59697,                0.89435,              0.0092575,              0.0092575,              0.0092575
                     18,                0.70378,                0.65783,                0.97801,                0.76418,                0.64538,                0.72716,                0.63517,                0.56913,                0.58516,                0.88891,               0.009208,               0.009208,               0.009208
                     19,                0.70015,                0.64735,                0.97418,                 0.7825,                0.64398,                0.72276,                0.63605,                0.55813,                  0.574,                 0.8856,              0.0091585,              0.0091585,              0.0091585
                     20,                0.69524,                0.63835,                0.97428,                 0.8332,                0.68874,                0.78308,                0.68873,                0.56231,                0.57001,                0.89252,               0.009109,               0.009109,               0.009109
                     21,                0.68936,                0.62413,                0.96827,                0.78886,                0.65519,                0.73798,                0.65047,                0.54233,                0.55556,                0.88182,              0.0090595,              0.0090595,              0.0090595
                     22,                0.68504,                0.61871,                0.96715,                0.85364,                 0.7006,                0.79211,                0.70406,                0.54736,                0.55715,                0.88529,                0.00901,                0.00901,                0.00901
                     23,                0.68391,                0.61103,                0.96677,                0.86438,                0.69897,                0.79663,                0.70623,                0.53758,                0.54222,                0.88137,              0.0089605,              0.0089605,              0.0089605
                     24,                0.68246,                0.61077,                  0.966,                0.79671,                0.66503,                0.74275,                 0.6619,                0.52838,                 0.5446,                0.87785,               0.008911,               0.008911,               0.008911
                     25,                0.67672,                0.59858,                0.96272,                0.78074,                0.66582,                0.74036,                0.66138,                0.52455,                 0.5416,                0.87482,              0.0088615,              0.0088615,              0.0088615
                     26,                 0.6746,                0.59614,                0.96273,                0.80156,                0.66128,                0.74256,                0.67132,                0.52456,                0.51613,                0.87497,               0.008812,               0.008812,               0.008812
                     27,                0.66942,                0.58984,                0.95788,                0.78934,                0.68613,                0.75215,                 0.6828,                0.51526,                0.51385,                0.87453,              0.0087625,              0.0087625,              0.0087625
                     28,                0.66148,                0.58167,                0.95622,                 0.7864,                0.63976,                0.72945,                0.66106,                0.51594,                0.51826,                0.87143,               0.008713,               0.008713,               0.008713
                     29,                0.65921,                0.57681,                0.95573,                0.78927,                0.68918,                0.75498,                0.68062,                0.51256,                  0.502,                0.87194,              0.0086635,              0.0086635,              0.0086635
                     30,                0.65718,                0.57771,                 0.9556,                0.86976,                0.68812,                0.79149,                0.72025,                 0.5146,                 0.5128,                0.87356,               0.008614,               0.008614,               0.008614
                     31,                0.65564,                0.57092,                0.95367,                0.86733,                 0.6759,                 0.7853,                0.71299,                0.50646,                  0.522,                0.86774,              0.0085645,              0.0085645,              0.0085645
                     32,                0.65477,                0.56395,                0.95389,                0.86771,                0.65846,                0.77606,                0.70912,                0.50571,                 0.5042,                0.87006,               0.008515,               0.008515,               0.008515
                     33,                0.64949,                0.56108,                0.95168,                0.84703,                0.66139,                0.77172,                0.70935,                0.50216,                0.51634,                0.86655,              0.0084655,              0.0084655,              0.0084655
                     34,                0.64763,                0.55545,                0.94945,                0.85168,                0.68358,                0.78303,                0.71239,                0.50267,                 0.5002,                0.86499,               0.008416,               0.008416,               0.008416
                     35,                0.64507,                0.55107,                0.94953,                0.84993,                0.68077,                0.78356,                0.72353,                0.49463,                0.49203,                0.86114,              0.0083665,              0.0083665,              0.0083665
                     36,                0.64488,                 0.5484,                0.94749,                0.86618,                0.70957,                0.80178,                0.72926,                0.50003,                0.48777,                0.86778,               0.008317,               0.008317,               0.008317
                     37,                0.63792,                0.54613,                 0.9448,                0.78913,                0.69982,                0.75822,                0.68614,                0.49845,                0.48633,                0.86617,              0.0082675,              0.0082675,              0.0082675
                     38,                0.63554,                0.53747,                0.94516,                 0.7915,                0.71325,                0.76648,                0.69184,                0.49808,                0.48588,                 0.8652,               0.008218,               0.008218,               0.008218
                     39,                0.63823,                0.53904,                0.94585,                  0.861,                0.70601,                0.79919,                  0.729,                0.49357,                0.48167,                0.86418,              0.0081685,              0.0081685,              0.0081685
