                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                0.80136,                 1.7451,                 1.0434,                0.72613,                0.44457,                0.49385,                0.39935,                0.63996,                0.88582,                0.91382,               0.003332,               0.003332,               0.003332
                      1,                0.80873,                 1.0407,                 1.0306,                0.72328,                0.48407,                0.53546,                0.44274,                0.68432,                0.90279,                0.93916,              0.0066323,              0.0066323,              0.0066323
                      2,                0.91765,                 1.1501,                 1.0792,                 0.6693,                 0.4905,                0.47886,                0.34908,                0.84325,                 1.0777,                 1.0146,              0.0098997,              0.0098997,              0.0098997
                      3,                0.97072,                 1.2195,                 1.1104,                0.81563,                0.47072,                0.56281,                0.44163,                0.77923,                0.91957,                0.98933,              0.0098515,              0.0098515,              0.0098515
                      4,                0.92115,                 1.0917,                 1.0818,                0.70589,                0.50369,                0.48939,                0.39537,                0.75673,                0.86217,                0.98307,              0.0098515,              0.0098515,              0.0098515
                      5,                0.88648,                0.99835,                 1.0648,                0.70993,                0.59367,                0.54279,                0.43727,                0.73002,                0.81806,                 0.9669,               0.009802,               0.009802,               0.009802
                      6,                0.85512,                0.94653,                 1.0507,                0.87446,                0.46179,                0.56061,                0.46851,                0.69252,                0.78599,                0.95292,              0.0097525,              0.0097525,              0.0097525
                      7,                0.83164,                0.89595,                 1.0396,                0.70805,                0.63804,                0.61687,                0.51195,                0.67668,                0.73995,                0.94195,               0.009703,               0.009703,               0.009703
                      8,                0.81631,                0.86076,                 1.0311,                 0.8328,                0.57035,                0.63856,                0.53242,                0.66052,                0.72179,                0.93057,              0.0096535,              0.0096535,              0.0096535
                      9,                0.79594,                0.82966,                  1.021,                0.70822,                0.61234,                0.62179,                0.52713,                0.63776,                0.69212,                0.92179,               0.009604,               0.009604,               0.009604
                     10,                0.78204,                0.80382,                 1.0147,                0.79033,                  0.643,                0.66465,                 0.5526,                0.61878,                 0.6569,                0.91438,              0.0095545,              0.0095545,              0.0095545
                     11,                0.77619,                0.78043,                 1.0109,                0.77069,                0.62966,                0.68422,                0.59083,                0.60709,                0.63817,                0.90802,               0.009505,               0.009505,               0.009505
                     12,                   0.76,                 0.7578,                 1.0032,                0.92658,                 0.5943,                0.71632,                0.61346,                0.60054,                0.64455,                0.90162,              0.0094555,              0.0094555,              0.0094555
                     13,                0.75536,                0.74481,                  1.002,                0.62595,                0.71624,                0.72003,                 0.6173,                0.58977,                 0.6186,                0.89867,               0.009406,               0.009406,               0.009406
                     14,                0.74374,                0.72972,                0.99452,                0.89912,                0.62226,                0.70713,                0.60674,                0.57763,                0.60355,                0.89401,              0.0093565,              0.0093565,              0.0093565
                     15,                0.73567,                0.71571,                0.99577,                0.78903,                0.63328,                0.70908,                0.62414,                0.56241,                0.59087,                0.89455,               0.009307,               0.009307,               0.009307
                     16,                0.73088,                0.70205,                0.99011,                0.84942,                0.60107,                0.72754,                0.62376,                0.56248,                0.56881,                0.88966,              0.0092575,              0.0092575,              0.0092575
                     17,                 0.7269,                0.69362,                  0.988,                0.95064,                0.61703,                 0.7142,                0.62566,                0.55738,                0.55695,                0.88884,               0.009208,               0.009208,               0.009208
                     18,                0.71281,                0.67655,                0.98204,                0.80305,                0.70397,                0.75641,                0.66519,                0.54734,                0.56161,                0.88227,              0.0091585,              0.0091585,              0.0091585
                     19,                0.70941,                0.67124,                0.98054,                0.90114,                0.62082,                0.72664,                0.63198,                0.54396,                0.56125,                0.88521,               0.009109,               0.009109,               0.009109
                     20,                0.70154,                 0.6568,                 0.9744,                0.90054,                0.69426,                0.76505,                0.66778,                0.53251,                0.54338,                0.87882,              0.0090595,              0.0090595,              0.0090595
                     21,                0.70066,                0.66024,                0.97619,                0.82895,                0.67393,                0.74333,                0.64995,                0.52664,                0.54697,                0.87698,                0.00901,                0.00901,                0.00901
                     22,                0.69446,                0.64641,                0.97287,                0.79971,                0.71415,                0.77326,                0.68565,                0.52459,                0.54196,                0.87591,              0.0089605,              0.0089605,              0.0089605
                     23,                0.69703,                0.64112,                0.97463,                0.87154,                0.73279,                0.77475,                0.66548,                0.51737,                 0.5208,                0.87404,               0.008911,               0.008911,               0.008911
                     24,                0.69177,                0.63061,                0.97244,                0.68434,                0.71244,                0.75522,                0.65882,                0.51427,                0.53043,                0.87192,              0.0088615,              0.0088615,              0.0088615
                     25,                0.68929,                0.62371,                0.96901,                0.79294,                0.73062,                0.76415,                0.68553,                0.51271,                0.51027,                0.87037,               0.008812,               0.008812,               0.008812
                     26,                0.68204,                0.61528,                0.96551,                0.79784,                0.68773,                0.75688,                0.66121,                0.50884,                0.50796,                0.86901,              0.0087625,              0.0087625,              0.0087625
                     27,                0.67346,                0.60639,                0.96274,                0.81286,                0.70673,                0.78177,                0.68979,                0.50833,                0.50813,                0.87003,               0.008713,               0.008713,               0.008713
                     28,                0.67163,                0.60399,                0.96128,                0.92993,                0.72657,                0.80787,                0.71886,                 0.5047,                0.51114,                0.86951,              0.0086635,              0.0086635,              0.0086635
                     29,                0.66995,                0.60308,                0.96294,                0.88953,                0.71233,                0.79178,                 0.7007,                0.49801,                  0.507,                 0.8678,               0.008614,               0.008614,               0.008614
                     30,                0.66858,                0.59627,                0.96251,                0.83172,                0.69663,                0.78718,                0.70748,                 0.4979,                0.50143,                0.86765,              0.0085645,              0.0085645,              0.0085645
                     31,                0.66634,                0.59637,                0.95784,                 0.9234,                0.68338,                0.79197,                 0.7065,                0.49522,                0.49728,                0.86555,               0.008515,               0.008515,               0.008515
                     32,                0.65801,                0.58331,                0.95573,                0.74852,                0.74008,                0.80039,                0.72397,                0.49252,                0.48217,                0.86277,              0.0084655,              0.0084655,              0.0084655
                     33,                0.66225,                0.58158,                0.95787,                0.92611,                0.70094,                0.79124,                0.71731,                0.48905,                0.48054,                0.85915,               0.008416,               0.008416,               0.008416
                     34,                0.65487,                0.57856,                 0.9536,                0.87956,                0.71005,                0.78717,                 0.7168,                0.48393,                 0.4788,                0.85545,              0.0083665,              0.0083665,              0.0083665
                     35,                0.65876,                0.58238,                0.95596,                0.90738,                0.70274,                0.78012,                0.70457,                0.48066,                0.47658,                 0.8542,               0.008317,               0.008317,               0.008317
                     36,                0.65424,                0.57505,                0.95536,                 0.8723,                0.70547,                0.79691,                0.72379,                0.47842,                0.47141,                0.85427,              0.0082675,              0.0082675,              0.0082675
                     37,                0.64921,                0.56716,                 0.9521,                0.89348,                 0.7267,                0.80359,                 0.7345,                0.47837,                0.47493,                0.85418,               0.008218,               0.008218,               0.008218
                     38,                0.64538,                0.55692,                0.95173,                0.84013,                0.74765,                0.80445,                0.73512,                0.47599,                0.47289,                0.85339,              0.0081685,              0.0081685,              0.0081685
                     39,                0.64464,                0.56119,                0.94879,                0.83651,                0.76201,                0.81319,                0.74088,                0.47334,                0.46865,                0.85282,               0.008119,               0.008119,               0.008119
                     40,                0.64411,                0.56156,                0.95075,                0.86052,                0.74662,                0.80585,                0.73498,                0.47267,                0.46425,                0.85291,              0.0080695,              0.0080695,              0.0080695
                     41,                0.64473,                  0.558,                0.94736,                0.85967,                0.74956,                0.80752,                0.73557,                0.47225,                0.46394,                0.85323,                0.00802,                0.00802,                0.00802
                     42,                 0.6346,                0.54732,                0.94514,                0.85815,                 0.7497,                0.80903,                0.73618,                0.47172,                0.46256,                 0.8534,              0.0079705,              0.0079705,              0.0079705
                     43,                0.63478,                0.54669,                0.94332,                0.85209,                0.74916,                0.81634,                0.74044,                0.47018,                0.46192,                0.85256,               0.007921,               0.007921,               0.007921
                     44,                0.63652,                0.54941,                0.94728,                0.76873,                0.75563,                0.81761,                0.74425,                0.46967,                0.46037,                 0.8525,              0.0078715,              0.0078715,              0.0078715
                     45,                0.63124,                0.54296,                0.94566,                 0.7821,                0.77135,                0.81992,                0.74387,                0.46824,                0.46017,                0.85107,               0.007822,               0.007822,               0.007822
                     46,                0.63056,                0.53641,                0.94546,                0.76778,                0.79026,                0.82088,                0.74418,                0.46871,                0.46058,                 0.8515,              0.0077725,              0.0077725,              0.0077725
                     47,                0.62829,                0.53383,                0.94108,                0.74843,                0.79375,                0.82298,                0.74759,                0.46873,                0.46088,                0.85206,               0.007723,               0.007723,               0.007723
                     48,                0.62751,                0.53169,                0.94172,                 0.7598,                0.79289,                0.82454,                0.74974,                0.46808,                0.45954,                0.85184,              0.0076735,              0.0076735,              0.0076735
                     49,                 0.6305,                0.53188,                0.94207,                0.75615,                0.79133,                0.82335,                0.74985,                0.46785,                0.46068,                0.85146,               0.007624,               0.007624,               0.007624
                     50,                0.61861,                0.52656,                0.93795,                0.75997,                0.79307,                0.82447,                0.75573,                0.46691,                0.46033,                0.85094,              0.0075745,              0.0075745,              0.0075745
                     51,                0.62713,                0.52843,                0.94353,                0.75624,                0.79276,                0.82441,                0.75473,                0.46632,                0.46098,                0.85051,               0.007525,               0.007525,               0.007525
                     52,                0.61759,                 0.5228,                 0.9393,                0.74552,                0.79387,                0.82407,                0.75502,                0.46454,                0.46097,                0.84929,              0.0074755,              0.0074755,              0.0074755
                     53,                0.61435,                 0.5176,                0.93762,                0.75646,                0.79385,                0.82309,                0.75238,                0.46343,                0.46022,                0.84849,               0.007426,               0.007426,               0.007426
                     54,                 0.6204,                0.51924,                0.94041,                0.83239,                0.79142,                0.82362,                0.75645,                0.46251,                0.45999,                0.84837,              0.0073765,              0.0073765,              0.0073765
                     55,                0.61707,                0.51363,                0.93819,                0.83464,                0.79105,                0.82313,                0.75636,                 0.4621,                0.45945,                0.84861,               0.007327,               0.007327,               0.007327
                     56,                 0.6134,                0.51077,                0.93712,                0.83968,                0.78851,                0.82472,                0.75699,                0.46175,                0.45973,                0.84895,              0.0072775,              0.0072775,              0.0072775
                     57,                0.61615,                 0.5098,                0.93736,                0.83789,                0.78875,                0.82579,                 0.7591,                0.46051,                0.45914,                0.84832,               0.007228,               0.007228,               0.007228
                     58,                0.61236,                0.50352,                0.93591,                0.83175,                0.78438,                0.82596,                0.75932,                0.46018,                0.45966,                0.84828,              0.0071785,              0.0071785,              0.0071785
                     59,                0.60945,                 0.5056,                0.93446,                0.83084,                0.78531,                0.82596,                 0.7588,                0.45979,                0.45978,                0.84812,               0.007129,               0.007129,               0.007129
                     60,                0.60738,                0.50998,                0.93701,                0.82887,                0.78678,                0.82642,                0.75713,                0.45898,                0.45965,                0.84788,              0.0070795,              0.0070795,              0.0070795
                     61,                0.60666,                0.50675,                0.93257,                0.82992,                0.78624,                0.82693,                0.75905,                0.45902,                 0.4588,                0.84818,                0.00703,                0.00703,                0.00703
                     62,                0.60984,                0.50329,                 0.9369,                 0.8308,                 0.7825,                0.82675,                0.75713,                0.45838,                0.45916,                0.84795,              0.0069805,              0.0069805,              0.0069805
                     63,                 0.6078,                0.50012,                0.93355,                0.83829,                0.78077,                0.82917,                0.75929,                0.45801,                0.45886,                0.84791,               0.006931,               0.006931,               0.006931
