                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                0.79891,                 1.7989,                 1.0416,                0.67802,                0.70948,                0.68186,                0.58514,                0.57452,                0.72229,                0.88229,              0.0033307,              0.0033307,              0.0033307
                      1,                0.78468,                0.99035,                 1.0132,                0.72746,                0.52484,                0.57509,                 0.4615,                0.71447,                0.95183,                0.94745,               0.006631,               0.006631,               0.006631
                      2,                0.89788,                 1.1021,                 1.0647,                0.64989,                0.51731,                0.52982,                0.40566,                0.83166,                 1.0658,                 1.0093,              0.0098984,              0.0098984,              0.0098984
                      3,                0.96182,                 1.1589,                 1.0968,                0.67111,                0.50653,                0.60094,                0.47518,                0.79942,                0.94674,                0.99436,              0.0098515,              0.0098515,              0.0098515
                      4,                0.91139,                 1.0389,                 1.0735,                0.80166,                0.54563,                0.62561,                0.48611,                0.74497,                0.86981,                0.96946,              0.0098515,              0.0098515,              0.0098515
                      5,                0.87379,                0.96121,                 1.0585,                0.73609,                 0.6663,                0.70357,                0.55164,                0.73864,                0.92252,                0.96818,               0.009802,               0.009802,               0.009802
                      6,                0.84275,                0.90304,                 1.0405,                0.66929,                0.74654,                0.75372,                0.62255,                0.69827,                 0.7573,                0.95908,              0.0097525,              0.0097525,              0.0097525
                      7,                0.81825,                0.85343,                 1.0309,                0.67849,                0.75322,                 0.7534,                0.61949,                0.67647,                0.75696,                0.93607,               0.009703,               0.009703,               0.009703
                      8,                0.79762,                 0.8253,                 1.0173,                0.84362,                0.64242,                0.74319,                0.62487,                0.65022,                0.69887,                 0.9292,              0.0096535,              0.0096535,              0.0096535
                      9,                0.78268,                0.79441,                 1.0094,                 0.6899,                0.78989,                0.76662,                0.65107,                0.62778,                0.69018,                0.91412,               0.009604,               0.009604,               0.009604
                     10,                0.76739,                0.76795,                 1.0058,                0.84484,                0.71752,                0.80421,                0.67032,                0.62187,                0.67346,                0.91552,              0.0095545,              0.0095545,              0.0095545
                     11,                0.75779,                0.74305,                 1.0002,                0.83488,                0.77914,                0.82683,                0.69899,                0.61475,                0.63703,                0.91162,               0.009505,               0.009505,               0.009505
                     12,                0.74806,                0.72578,                0.99776,                0.78752,                0.68577,                0.80091,                0.67323,                0.60368,                0.62651,                0.90919,              0.0094555,              0.0094555,              0.0094555
                     13,                0.74009,                0.71175,                0.98959,                0.64633,                0.77096,                0.79734,                0.67892,                0.58908,                0.61331,                0.90312,               0.009406,               0.009406,               0.009406
                     14,                0.72644,                0.68937,                0.98256,                0.88067,                0.74204,                0.82439,                0.70474,                0.57688,                0.60175,                 0.8966,              0.0093565,              0.0093565,              0.0093565
                     15,                0.72363,                0.68528,                0.98381,                0.78301,                0.79507,                0.83243,                0.71355,                 0.5751,                0.58789,                0.89449,               0.009307,               0.009307,               0.009307
                     16,                 0.7177,                 0.6774,                0.98025,                0.73327,                0.77048,                0.81349,                0.70438,                0.55541,                0.55808,                0.88413,              0.0092575,              0.0092575,              0.0092575
                     17,                0.70641,                0.65862,                0.97861,                 0.7167,                0.69607,                0.78664,                0.68643,                0.55238,                0.55733,                0.88366,               0.009208,               0.009208,               0.009208
                     18,                0.70104,                0.64791,                0.97529,                0.92587,                0.76257,                0.88014,                0.76566,                0.54564,                0.53287,                0.88463,              0.0091585,              0.0091585,              0.0091585
                     19,                0.69791,                0.64484,                0.97285,                0.68635,                 0.7966,                0.77091,                0.67692,                0.53907,                0.53863,                0.87738,               0.009109,               0.009109,               0.009109
                     20,                0.68945,                 0.6315,                0.96766,                0.74836,                 0.8562,                0.85838,                0.75335,                0.53691,                0.51654,                0.88038,              0.0090595,              0.0090595,              0.0090595
                     21,                0.68938,                 0.6245,                 0.9678,                0.90947,                0.67312,                0.79033,                0.69336,                0.53074,                0.51887,                0.87633,                0.00901,                0.00901,                0.00901
                     22,                0.68402,                0.61974,                0.96629,                0.80756,                0.75086,                0.77419,                0.69263,                0.52281,                0.51939,                0.87312,              0.0089605,              0.0089605,              0.0089605
                     23,                 0.6825,                0.61652,                0.96343,                0.81011,                0.84855,                0.87557,                 0.7693,                0.51732,                0.52505,                0.86804,               0.008911,               0.008911,               0.008911
                     24,                0.67028,                0.60361,                  0.962,                0.81676,                 0.8103,                0.86636,                0.77871,                0.51256,                0.52499,                0.87057,              0.0088615,              0.0088615,              0.0088615
                     25,                0.66779,                0.59515,                0.95829,                  0.831,                0.81186,                0.87699,                0.77583,                0.51114,                0.49483,                0.86756,               0.008812,               0.008812,               0.008812
                     26,                0.67248,                0.59271,                0.95822,                0.80937,                0.83593,                0.88726,                0.78922,                0.50602,                0.49079,                0.86684,              0.0087625,              0.0087625,              0.0087625
                     27,                0.66972,                0.58558,                0.95716,                0.90138,                 0.8107,                0.89087,                0.80246,                0.50458,                0.49303,                0.86556,               0.008713,               0.008713,               0.008713
                     28,                0.66268,                0.57851,                0.95506,                0.77984,                0.83531,                0.86457,                0.77792,                0.49939,                0.48573,                0.86142,              0.0086635,              0.0086635,              0.0086635
                     29,                0.65538,                0.57814,                0.95198,                0.83926,                0.85024,                0.89044,                0.79995,                0.50163,                0.49087,                0.86543,               0.008614,               0.008614,               0.008614
                     30,                0.65251,                0.57473,                0.95215,                0.79974,                0.86143,                0.89833,                0.80953,                 0.4951,                0.47813,                0.86368,              0.0085645,              0.0085645,              0.0085645
                     31,                0.65666,                0.57098,                 0.9548,                0.75286,                0.86413,                 0.8607,                0.77345,                0.49021,                0.47247,                0.86136,               0.008515,               0.008515,               0.008515
                     32,                0.65316,                0.56745,                0.95173,                0.83116,                0.85761,                0.88982,                0.79984,                0.48644,                0.47913,                0.85876,              0.0084655,              0.0084655,              0.0084655
                     33,                0.64913,                0.56238,                 0.9493,                0.87981,                0.85217,                0.89179,                  0.802,                0.48359,                0.47803,                0.85597,               0.008416,               0.008416,               0.008416
                     34,                 0.6439,                0.55141,                0.94778,                0.80107,                0.86515,                0.89272,                 0.8062,                 0.4794,                0.47537,                 0.8544,              0.0083665,              0.0083665,              0.0083665
                     35,                0.64238,                0.54858,                0.94849,                0.78286,                0.85946,                0.85079,                 0.7722,                0.47957,                0.47626,                0.85526,               0.008317,               0.008317,               0.008317
                     36,                0.63885,                0.54867,                0.94728,                0.79722,                0.86566,                0.89295,                0.80192,                0.47852,                0.46492,                0.85387,              0.0082675,              0.0082675,              0.0082675
                     37,                 0.6371,                0.54082,                0.94601,                0.79492,                0.86407,                 0.8926,                0.80426,                 0.4749,                 0.4628,                0.85134,               0.008218,               0.008218,               0.008218
                     38,                0.63536,                0.53995,                0.94741,                0.79367,                0.86613,                0.84371,                0.75845,                0.47616,                0.46137,                0.85194,              0.0081685,              0.0081685,              0.0081685
