                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                0.79727,                 1.2032,                 1.0395,                0.95966,                0.83609,                0.92235,                 0.7638,                0.61042,                0.48226,                0.90226,              0.0033307,              0.0033307,              0.0033307
                      1,                0.80665,                 0.6777,                 1.0253,                0.92349,                0.82654,                0.90702,                0.71389,                0.72606,                0.56306,                0.95226,               0.006631,               0.006631,               0.006631
                      2,                0.91965,                0.78857,                 1.0789,                0.88403,                0.78606,                0.86249,                0.64262,                0.85237,                 0.7418,                 1.0316,              0.0098984,              0.0098984,              0.0098984
                      3,                 0.9744,                0.82612,                 1.1111,                0.91326,                0.81923,                0.89786,                0.69001,                0.79986,                0.63525,                0.99451,              0.0098515,              0.0098515,              0.0098515
                      4,                0.92925,                0.75523,                 1.0871,                0.91645,                0.82645,                0.90125,                0.71113,                 0.7529,                0.58916,                0.97754,              0.0098515,              0.0098515,              0.0098515
                      5,                0.88899,                0.70376,                 1.0715,                0.93254,                0.84722,                0.91452,                0.72975,                0.72627,                 0.5459,                0.95856,               0.009802,               0.009802,               0.009802
                      6,                0.85574,                0.67481,                 1.0505,                0.94551,                0.83901,                0.91298,                0.73698,                0.69723,                0.52496,                0.94931,              0.0097525,              0.0097525,              0.0097525
                      7,                0.82738,                0.64379,                 1.0421,                0.94277,                0.84747,                0.91754,                0.75239,                0.66003,                0.50136,                0.92703,               0.009703,               0.009703,               0.009703
                      8,                0.80865,                0.62343,                 1.0267,                0.94246,                0.84509,                0.91651,                0.75094,                0.66316,                0.50064,                 0.9354,              0.0096535,              0.0096535,              0.0096535
                      9,                0.79241,                0.60537,                 1.0203,                0.94419,                0.86815,                0.92686,                0.76422,                0.63946,                0.47359,                0.92844,               0.009604,               0.009604,               0.009604
                     10,                0.77657,                0.59572,                 1.0131,                0.95208,                0.85775,                0.92862,                 0.7739,                0.62339,                0.45627,                0.91885,              0.0095545,              0.0095545,              0.0095545
                     11,                0.76756,                0.58054,                 1.0099,                0.93198,                0.86665,                0.92714,                0.77564,                0.60757,                0.45518,                0.91242,               0.009505,               0.009505,               0.009505
                     12,                0.75913,                0.57071,                 1.0044,                 0.9498,                0.87265,                 0.9314,                0.77831,                0.60928,                0.44987,                0.90595,              0.0094555,              0.0094555,              0.0094555
                     13,                 0.7506,                0.56283,                0.99773,                0.94892,                0.87068,                0.93365,                0.78728,                0.58508,                0.43279,                0.89823,               0.009406,               0.009406,               0.009406
                     14,                0.73678,                0.54878,                0.99326,                 0.9521,                0.87739,                0.93416,                0.79039,                 0.5811,                0.42766,                 0.8966,              0.0093565,              0.0093565,              0.0093565
                     15,                 0.7292,                 0.5408,                0.98875,                 0.9553,                0.87236,                0.93843,                0.79266,                0.58259,                0.41862,                0.90127,               0.009307,               0.009307,               0.009307
                     16,                0.72741,                0.53689,                0.98819,                0.95509,                0.87236,                0.93844,                0.80212,                 0.5593,                0.40326,                0.88627,              0.0092575,              0.0092575,              0.0092575
                     17,                0.71642,                0.53032,                0.98491,                 0.9555,                 0.8763,                0.93957,                0.80261,                0.55284,                0.39882,                 0.8859,               0.009208,               0.009208,               0.009208
                     18,                0.70841,                0.52089,                0.98136,                0.95365,                0.88305,                0.94311,                0.80612,                0.54302,                0.39315,                0.88213,              0.0091585,              0.0091585,              0.0091585
                     19,                0.70562,                0.51752,                0.97871,                0.94724,                0.88614,                0.94383,                0.80747,                0.55126,                0.39393,                0.88443,               0.009109,               0.009109,               0.009109
                     20,                0.69749,                0.50931,                0.97376,                0.95629,                0.89178,                0.94537,                0.81093,                0.53598,                0.38545,                0.88011,              0.0090595,              0.0090595,              0.0090595
                     21,                0.69694,                0.51074,                0.97317,                0.95957,                0.87827,                0.94431,                0.81455,                0.52519,                0.37723,                0.87277,                0.00901,                0.00901,                0.00901
                     22,                0.69364,                0.50533,                0.97351,                0.96198,                0.89008,                0.94621,                0.82152,                0.52176,                 0.3666,                0.87048,              0.0089605,              0.0089605,              0.0089605
                     23,                0.69078,                0.50198,                0.96943,                 0.9627,                0.88516,                0.94591,                0.81731,                0.52414,                0.37217,                   0.87,               0.008911,               0.008911,               0.008911
                     24,                0.68005,                0.49454,                 0.9691,                0.96254,                0.89576,                 0.9448,                0.81839,                0.51527,                0.36349,                0.86995,              0.0088615,              0.0088615,              0.0088615
                     25,                0.67942,                0.49369,                0.96599,                0.96082,                0.88935,                0.94681,                0.82445,                0.50761,                0.35792,                0.86802,               0.008812,               0.008812,               0.008812
                     26,                 0.6777,                0.48968,                0.96333,                0.96018,                0.89472,                0.94846,                0.82617,                0.50707,                0.35927,                0.86842,              0.0087625,              0.0087625,              0.0087625
                     27,                 0.6801,                0.48885,                 0.9644,                0.96163,                0.89473,                0.94732,                0.82714,                0.49886,                0.35672,                0.86132,               0.008713,               0.008713,               0.008713
                     28,                0.67223,                0.48263,                0.96326,                0.95918,                 0.8985,                0.94835,                0.82972,                0.49716,                0.34738,                0.86056,              0.0086635,              0.0086635,              0.0086635
                     29,                0.66366,                0.47878,                0.95946,                0.95599,                0.89992,                0.94916,                 0.8315,                0.49466,                0.34422,                0.85996,               0.008614,               0.008614,               0.008614
                     30,                0.65951,                0.47269,                 0.9585,                0.96046,                0.89851,                 0.9489,                0.83059,                0.49484,                  0.342,                  0.862,              0.0085645,              0.0085645,              0.0085645
                     31,                0.66457,                0.47571,                0.96247,                0.95569,                 0.8957,                 0.9494,                0.83167,                0.49462,                0.34324,                0.86015,               0.008515,               0.008515,               0.008515
                     32,                0.66053,                0.47501,                0.95711,                0.95229,                0.90554,                0.94828,                0.82988,                0.49418,                0.34292,                0.85843,              0.0084655,              0.0084655,              0.0084655
                     33,                0.65793,                0.46871,                0.95707,                0.95582,                0.90104,                0.94859,                0.83179,                0.48812,                0.34026,                0.85754,               0.008416,               0.008416,               0.008416
                     34,                0.65239,                 0.4621,                0.95465,                0.95442,                0.90245,                0.95053,                0.83315,                0.48645,                0.33986,                0.85844,              0.0083665,              0.0083665,              0.0083665
                     35,                0.65219,                0.46129,                 0.9559,                 0.9503,                0.90329,                 0.9499,                0.83382,                0.48252,                0.33571,                0.85695,               0.008317,               0.008317,               0.008317
                     36,                0.64691,                0.45836,                0.95329,                0.95139,                0.90329,                 0.9505,                 0.8358,                0.47979,                0.33211,                0.85547,              0.0082675,              0.0082675,              0.0082675
                     37,                 0.6471,                0.45923,                0.95282,                 0.9591,                0.89626,                0.95144,                0.83878,                0.47558,                0.32857,                0.85381,               0.008218,               0.008218,               0.008218
                     38,                0.64177,                0.45921,                0.95486,                0.95687,                0.89808,                0.95255,                 0.8389,                0.47678,                0.32745,                0.85493,              0.0081685,              0.0081685,              0.0081685
                     39,                0.64381,                0.45584,                 0.9495,                0.95583,                0.89795,                0.95166,                0.83892,                0.47735,                0.32769,                0.85561,               0.008119,               0.008119,               0.008119
                     40,                0.64383,                0.45841,                0.95005,                0.95946,                0.89821,                0.95136,                0.83931,                0.47537,                0.32699,                 0.8535,              0.0080695,              0.0080695,              0.0080695
                     41,                0.63493,                0.44958,                0.94669,                0.95836,                0.89943,                0.95071,                0.83931,                0.47351,                0.32629,                0.85266,                0.00802,                0.00802,                0.00802
                     42,                0.63838,                 0.4523,                 0.9495,                0.95514,                0.90526,                0.95135,                0.84041,                 0.4717,                0.32345,                0.85259,              0.0079705,              0.0079705,              0.0079705
                     43,                  0.636,                0.45033,                0.94742,                0.95748,                0.90537,                0.95202,                0.84039,                0.46994,                0.32138,                0.85231,               0.007921,               0.007921,               0.007921
                     44,                0.63084,                 0.4468,                0.94435,                0.96089,                0.90498,                0.95202,                0.84095,                0.46941,                0.32043,                0.85271,              0.0078715,              0.0078715,              0.0078715
                     45,                0.63298,                 0.4447,                0.94447,                0.95672,                0.90726,                 0.9523,                0.84107,                0.46991,                0.31907,                0.85302,               0.007822,               0.007822,               0.007822
                     46,                0.62576,                0.43732,                0.94136,                0.95657,                0.90469,                 0.9517,                0.84184,                0.46918,                0.31934,                0.85268,              0.0077725,              0.0077725,              0.0077725
                     47,                0.62965,                0.44236,                0.94529,                0.95648,                0.90582,                0.95258,                0.84206,                0.46745,                0.31853,                0.85141,               0.007723,               0.007723,               0.007723
                     48,                0.62649,                0.44173,                0.94151,                0.95561,                0.90666,                 0.9525,                0.84267,                0.46697,                0.31765,                0.85094,              0.0076735,              0.0076735,              0.0076735
                     49,                0.62063,                0.43718,                0.93937,                 0.9561,                0.90616,                0.95271,                0.84317,                0.46559,                0.31767,                0.84997,               0.007624,               0.007624,               0.007624
                     50,                0.61804,                0.43295,                0.93878,                0.95919,                0.90526,                0.95275,                0.84363,                0.46386,                0.31594,                0.84914,              0.0075745,              0.0075745,              0.0075745
                     51,                0.62293,                0.42916,                0.94102,                0.95866,                0.90638,                0.95291,                0.84414,                0.46319,                0.31477,                0.84935,               0.007525,               0.007525,               0.007525
                     52,                 0.6151,                 0.4325,                0.93811,                0.95966,                 0.9061,                 0.9525,                 0.8442,                0.46202,                0.31436,                0.84867,              0.0074755,              0.0074755,              0.0074755
                     53,                0.61765,                0.43116,                0.93927,                0.96036,                 0.9058,                0.95265,                0.84476,                0.46099,                0.31373,                0.84824,               0.007426,               0.007426,               0.007426
                     54,                0.61653,                0.42913,                0.93768,                0.95742,                 0.9061,                0.95305,                0.84494,                 0.4611,                0.31378,                0.84861,              0.0073765,              0.0073765,              0.0073765
                     55,                0.61514,                0.42792,                0.93666,                 0.9574,                0.90554,                0.95313,                0.84445,                0.46043,                0.31376,                0.84851,               0.007327,               0.007327,               0.007327
                     56,                0.61166,                0.42695,                0.93496,                 0.9575,                0.90498,                0.95344,                0.84424,                0.46011,                0.31404,                 0.8485,              0.0072775,              0.0072775,              0.0072775
                     57,                0.61546,                0.42889,                0.93684,                0.95772,                0.90498,                0.95347,                0.84422,                0.45967,                0.31357,                0.84824,               0.007228,               0.007228,               0.007228
                     58,                0.60923,                0.42299,                0.93355,                0.95858,                0.90436,                0.95287,                0.84362,                0.45956,                0.31309,                0.84826,              0.0071785,              0.0071785,              0.0071785
                     59,                0.60467,                0.42028,                0.93327,                 0.9578,                0.90498,                0.95274,                0.84346,                0.45871,                0.31302,                0.84777,               0.007129,               0.007129,               0.007129
                     60,                0.60639,                0.41905,                0.93419,                0.95879,                0.90441,                 0.9534,                0.84412,                0.45828,                0.31283,                0.84764,              0.0070795,              0.0070795,              0.0070795
                     61,                0.60265,                0.41858,                0.93393,                0.95748,                0.90537,                 0.9535,                0.84407,                0.45834,                0.31187,                0.84765,                0.00703,                0.00703,                0.00703
                     62,                  0.605,                0.42014,                0.93198,                0.95613,                0.90694,                0.95326,                0.84407,                0.45772,                0.31105,                0.84746,              0.0069805,              0.0069805,              0.0069805
                     63,                0.60406,                0.41871,                0.93184,                 0.9544,                0.90666,                0.95331,                0.84447,                0.45717,                0.31109,                0.84721,               0.006931,               0.006931,               0.006931
                     64,                0.60635,                0.41754,                0.93544,                0.95476,                0.90768,                0.95356,                0.84515,                0.45656,                0.31063,                  0.847,              0.0068815,              0.0068815,              0.0068815
                     65,                  0.605,                0.41541,                0.93338,                0.95067,                0.91018,                0.95324,                0.84504,                 0.4554,                 0.3107,                0.84628,               0.006832,               0.006832,               0.006832
                     66,                0.60192,                0.41688,                0.92966,                0.95472,                0.90698,                0.95316,                0.84523,                0.45514,                0.31039,                0.84612,              0.0067825,              0.0067825,              0.0067825
                     67,                0.59553,                0.41211,                0.92967,                 0.9549,                0.90694,                0.95319,                0.84491,                0.45511,                0.31077,                0.84609,               0.006733,               0.006733,               0.006733
                     68,                0.60153,                0.41334,                0.93008,                0.95093,                0.90976,                0.95386,                0.84481,                0.45489,                0.31092,                0.84595,              0.0066835,              0.0066835,              0.0066835
                     69,                0.59297,                0.40888,                0.92885,                  0.951,                0.91117,                0.95395,                0.84486,                 0.4551,                0.31093,                0.84609,               0.006634,               0.006634,               0.006634
                     70,                0.59388,                0.40827,                0.92865,                0.94993,                0.91285,                 0.9538,                0.84499,                0.45531,                0.31015,                 0.8465,              0.0065845,              0.0065845,              0.0065845
