                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                0.79377,                 1.9052,                 1.0418,                0.66682,                0.58735,                0.59279,                0.49454,                0.58164,                0.79479,                 0.8848,               0.003328,               0.003328,               0.003328
                      1,                0.76835,                0.95264,                 1.0073,                0.80341,                0.43812,                 0.5611,                0.45313,                0.68946,                0.98829,                0.94129,              0.0066284,              0.0066284,              0.0066284
                      2,                0.87169,                 1.0498,                 1.0525,                0.50329,                0.61871,                0.59514,                0.44119,                0.86173,                  1.216,                 1.0363,              0.0098958,              0.0098958,              0.0098958
                      3,                0.95398,                 1.1399,                 1.0961,                0.76274,                0.52863,                0.59811,                0.47344,                0.81845,                 1.0337,                0.99815,              0.0098515,              0.0098515,              0.0098515
                      4,                0.90539,                 1.0197,                 1.0706,                0.79398,                0.48834,                0.57766,                0.45242,                0.77334,                0.93671,                0.98505,              0.0098515,              0.0098515,              0.0098515
                      5,                0.86034,                0.93283,                  1.048,                0.77574,                0.71487,                0.70804,                0.57842,                0.72647,                0.80646,                0.96801,               0.009802,               0.009802,               0.009802
                      6,                0.83021,                0.87404,                  1.035,                0.89106,                0.61082,                0.74804,                0.61245,                0.69102,                0.77885,                0.94898,              0.0097525,              0.0097525,              0.0097525
                      7,                0.80707,                0.83173,                 1.0253,                0.77289,                0.67944,                0.75664,                0.63938,                0.67964,                0.76934,                0.94051,               0.009703,               0.009703,               0.009703
                      8,                0.78958,                0.79799,                 1.0165,                0.74597,                0.72631,                0.74499,                0.60287,                0.65905,                0.70307,                0.92393,              0.0096535,              0.0096535,              0.0096535
                      9,                0.77213,                0.76804,                 1.0047,                0.81758,                0.62994,                0.70828,                0.60502,                0.64239,                0.70312,                0.93224,               0.009604,               0.009604,               0.009604
                     10,                0.76454,                0.74666,                 1.0025,                0.79027,                0.75645,                0.74957,                0.62618,                0.64082,                0.69273,                0.91919,              0.0095545,              0.0095545,              0.0095545
                     11,                0.74992,                0.72888,                0.99391,                0.88487,                0.57508,                 0.7086,                0.59846,                0.62094,                0.65246,                0.91046,               0.009505,               0.009505,               0.009505
                     12,                0.74417,                0.70819,                0.98992,                0.87888,                0.63119,                0.74829,                0.63437,                0.60499,                0.65722,                0.90734,              0.0094555,              0.0094555,              0.0094555
                     13,                0.72456,                0.68971,                0.98352,                0.81324,                0.72512,                0.77171,                0.66929,                0.59294,                 0.6094,                0.89853,               0.009406,               0.009406,               0.009406
