                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                0.79525,                 1.9127,                 1.0415,                0.66551,                0.59942,                0.64194,                0.54044,                0.60346,                 0.7581,                0.88996,               0.003328,               0.003328,               0.003328
                      1,                0.76996,                0.95433,                 1.0086,                0.66439,                0.62362,                0.64679,                0.53074,                 0.6613,                0.86302,                0.91962,              0.0066284,              0.0066284,              0.0066284
                      2,                0.87199,                 1.0441,                 1.0525,                0.64267,                0.50351,                0.58525,                0.44052,                0.89516,                 1.1576,                 1.0503,              0.0098958,              0.0098958,              0.0098958
                      3,                0.95541,                 1.1406,                 1.0929,                0.57214,                0.61942,                0.56515,                0.42536,                0.85872,                 1.2449,                 1.0211,              0.0098515,              0.0098515,              0.0098515
                      4,                0.90712,                 1.0242,                 1.0717,                0.68071,                0.56885,                0.60549,                0.48451,                0.76702,                0.92937,                0.98086,              0.0098515,              0.0098515,              0.0098515
                      5,                0.86158,                0.93343,                 1.0489,                0.78677,                0.62328,                 0.6861,                0.55735,                0.72997,                0.85258,                0.96018,               0.009802,               0.009802,               0.009802
                      6,                0.83132,                 0.8806,                 1.0358,                0.85161,                0.55515,                0.66758,                 0.5567,                0.68243,                0.75775,                0.94315,              0.0097525,              0.0097525,              0.0097525
                      7,                0.80526,                0.82603,                 1.0246,                0.72334,                0.74417,                0.76131,                0.62924,                0.69034,                0.78495,                0.94918,               0.009703,               0.009703,               0.009703
                      8,                0.78845,                0.78876,                 1.0157,                0.80911,                0.58679,                0.66932,                0.55317,                0.67729,                0.76914,                0.93732,              0.0096535,              0.0096535,              0.0096535
                      9,                0.77276,                0.76729,                 1.0047,                0.82385,                0.58075,                0.75133,                0.63046,                0.63705,                 0.7068,                0.92527,               0.009604,               0.009604,               0.009604
                     10,                0.76538,                0.74339,                 1.0016,                0.75506,                0.68648,                0.81541,                0.68189,                0.63055,                0.67109,                0.91679,              0.0095545,              0.0095545,              0.0095545
                     11,                0.74861,                0.72615,                0.99535,                0.62561,                0.80473,                0.78417,                0.67409,                0.61674,                0.62993,                0.90631,               0.009505,               0.009505,               0.009505
                     12,                0.74383,                0.70682,                 0.9902,                0.92461,                0.59452,                 0.7542,                0.64761,                0.60063,                0.68411,                0.90035,              0.0094555,              0.0094555,              0.0094555
                     13,                0.72663,                0.68841,                0.98282,                 0.7809,                0.70742,                0.79896,                0.67274,                0.59181,                0.65599,                0.90107,               0.009406,               0.009406,               0.009406
                     14,                0.71787,                0.66613,                0.97981,                0.86461,                0.76962,                0.86617,                0.74474,                0.58536,                0.57939,                0.89714,              0.0093565,              0.0093565,              0.0093565
                     15,                0.71523,                0.66282,                0.97902,                0.66867,                 0.8418,                0.84428,                0.73957,                0.57488,                0.59076,                0.89482,               0.009307,               0.009307,               0.009307
                     16,                0.70464,                0.64413,                0.97552,                0.63682,                0.87462,                 0.8019,                0.70419,                0.57099,                0.59001,                0.88835,              0.0092575,              0.0092575,              0.0092575
                     17,                0.70177,                0.64044,                0.97392,                0.85289,                0.79091,                0.82792,                0.71915,                0.56585,                0.56946,                0.89396,               0.009208,               0.009208,               0.009208
                     18,                0.69847,                0.63123,                0.97185,                0.89257,                0.66874,                0.76657,                0.67683,                0.54263,                0.56166,                0.88426,              0.0091585,              0.0091585,              0.0091585
                     19,                0.68775,                0.61895,                0.96649,                0.91598,                0.77152,                0.84893,                 0.7398,                0.54611,                0.53905,                0.88461,               0.009109,               0.009109,               0.009109
                     20,                0.68467,                0.61114,                0.96341,                0.78834,                  0.837,                0.88129,                0.76609,                0.54478,                0.54727,                0.88384,              0.0090595,              0.0090595,              0.0090595
                     21,                0.68243,                0.60392,                0.96308,                0.69148,                0.87763,                0.82508,                0.72651,                0.53287,                0.52269,                0.87672,                0.00901,                0.00901,                0.00901
                     22,                0.67766,                0.60012,                0.96242,                0.74565,                0.84633,                0.87915,                0.77441,                0.53483,                0.52014,                0.87779,              0.0089605,              0.0089605,              0.0089605
                     23,                0.67121,                0.59218,                0.95853,                0.83321,                0.76522,                0.86745,                0.76536,                0.52387,                0.53442,                0.87431,               0.008911,               0.008911,               0.008911
                     24,                0.66409,                0.58321,                0.95469,                0.92977,                0.77635,                0.90581,                0.80394,                 0.5152,                0.51794,                0.86876,              0.0088615,              0.0088615,              0.0088615
                     25,                 0.6618,                0.57574,                0.95389,                0.92359,                0.77919,                0.89851,                0.79973,                0.51473,                0.51397,                0.87032,               0.008812,               0.008812,               0.008812
                     26,                0.66265,                0.56916,                0.95298,                0.81397,                0.84106,                0.89043,                0.79912,                0.50983,                0.51449,                 0.8687,              0.0087625,              0.0087625,              0.0087625
                     27,                0.65831,                0.56627,                0.95487,                0.88553,                0.82267,                0.88263,                 0.7802,                0.49961,                0.50336,                0.86167,               0.008713,               0.008713,               0.008713
                     28,                0.65332,                0.56349,                0.95189,                0.89057,                 0.8201,                0.89357,                0.79578,                0.50143,                0.50525,                0.86384,              0.0086635,              0.0086635,              0.0086635
                     29,                0.65189,                0.55334,                 0.9514,                0.87689,                 0.8438,                0.90854,                0.82981,                0.49975,                0.50243,                0.86538,               0.008614,               0.008614,               0.008614
                     30,                0.65108,                0.55508,                0.94961,                0.83572,                0.83875,                0.89486,                0.79873,                0.49649,                0.48991,                0.86265,              0.0085645,              0.0085645,              0.0085645
                     31,                 0.6474,                0.55251,                0.94991,                0.89341,                0.84009,                 0.8945,                 0.8002,                0.49107,                0.48979,                0.86123,               0.008515,               0.008515,               0.008515
