path,class,rev,station,cam,season,day_part,date_time,seq_id
rev01/10/10_20201020 (545).JPG,red fox,rev01,10B,10,autumn,morning,2020-10-20 06:20:31,1
rev01/10/10_20201021 (1850).JPG,empty,rev01,10B,10,autumn,night,2020-10-21 01:50:32,2
rev01/10/10_20201021 (1962).JPG,empty,rev01,10B,10,autumn,night,2020-10-21 03:21:34,3
rev01/10/10_20201021 (2008).JPG,empty,rev01,10B,10,autumn,night,2020-10-21 03:23:32,3
rev01/10/10_20201022 (16030).JPG,empty,rev01,10B,10,autumn,evening,2020-10-22 13:34:43,4
rev01/10/10_20201023 (10600).JPG,empty,rev01,10B,10,autumn,evening,2020-10-23 13:06:31,5
rev01/11/11_20201029 (15).JPG,european badger,rev01,11,11,autumn,night,2020-10-29 04:36:50,6
rev01/11/11_20201029 (17).JPG,european badger,rev01,11,11,autumn,night,2020-10-29 04:36:51,6
rev01/11/11_20201029 (19).JPG,european badger,rev01,11,11,autumn,night,2020-10-29 04:36:52,6
rev01/11/11_20201029 (18).JPG,european badger,rev01,11,11,autumn,night,2020-10-29 04:36:52,6
rev01/11/11_20201029 (20).JPG,european badger,rev01,11,11,autumn,night,2020-10-29 04:36:53,6
rev01/11/11_20201101 (32).JPG,wild boar,rev01,11,11,autumn,morning,2020-11-01 10:00:19,7
rev01/11/11_20201101 (38).JPG,wild boar,rev01,11,11,autumn,morning,2020-11-01 10:00:24,7
rev01/11/11_20201101 (89).JPG,wild boar,rev01,11,11,autumn,morning,2020-11-01 10:08:12,8
rev01/11/11_20201101 (93).JPG,wild boar,rev01,11,11,autumn,morning,2020-11-01 10:08:16,8
rev01/11/11_20201101 (104).JPG,wild boar,rev01,11,11,autumn,morning,2020-11-01 10:08:24,8
rev01/11/11_20201101 (134).JPG,european badger,rev01,11,11,autumn,night,2020-11-01 21:49:40,9
rev01/11/11_20201101 (137).JPG,european badger,rev01,11,11,autumn,night,2020-11-01 21:50:15,9
rev01/11/11_20201101 (139).JPG,european badger,rev01,11,11,autumn,night,2020-11-01 21:50:18,9
rev01/11/11_20201101 (143).JPG,european badger,rev01,11,11,autumn,night,2020-11-01 21:50:21,9
rev01/11/11_20201101 (141).JPG,european badger,rev01,11,11,autumn,night,2020-11-01 21:50:21,9
rev01/11/11_20201101 (142).JPG,european badger,rev01,11,11,autumn,night,2020-11-01 21:50:21,9
rev01/11/11_20201110 (157).JPG,egyptian mongoose,rev01,11,11,autumn,evening,2020-11-10 12:59:00,10
rev01/11/11_20201110 (158).JPG,egyptian mongoose,rev01,11,11,autumn,evening,2020-11-10 12:59:08,10
rev01/11/11_20201110 (161).JPG,egyptian mongoose,rev01,11,11,autumn,evening,2020-11-10 12:59:11,10
rev01/11/11_20201110 (162).JPG,egyptian mongoose,rev01,11,11,autumn,evening,2020-11-10 12:59:16,10
rev01/11/11_20201113 (205).JPG,wild boar,rev01,11,11,autumn,night,2020-11-13 21:01:58,11
rev01/11/11_20201113 (207).JPG,wild boar,rev01,11,11,autumn,night,2020-11-13 21:01:59,11
rev01/11/11_20201116 (218).JPG,human,rev01,11,11,autumn,evening,2020-11-16 12:10:50,12
rev01/11/11_20201116 (221).JPG,human,rev01,11,11,autumn,evening,2020-11-16 12:10:52,12
rev01/12/12_20201027 (43).JPG,red fox,rev01,12,12,autumn,morning,2020-10-27 06:27:32,13
rev01/12/12_20201027 (44).JPG,red fox,rev01,12,12,autumn,morning,2020-10-27 06:27:33,13
rev01/12/12_20201028 (55).JPG,red fox,rev01,12,12,autumn,night,2020-10-28 02:31:05,14
rev01/12/12_20201028 (59).JPG,red fox,rev01,12,12,autumn,night,2020-10-28 02:31:11,14
rev01/12/12_20201028 (64).JPG,red fox,rev01,12,12,autumn,night,2020-10-28 02:32:04,14
rev01/12/12_20201028 (65).JPG,red fox,rev01,12,12,autumn,night,2020-10-28 02:32:04,14
rev01/12/12_20201028 (66).JPG,red fox,rev01,12,12,autumn,night,2020-10-28 02:32:05,14
rev01/12/12_20201101 (100).JPG,wild boar,rev01,12,12,autumn,evening,2020-11-01 19:51:41,15
rev01/12/12_20201106 (156).JPG,european badger,rev01,12,12,autumn,evening,2020-11-06 20:22:00,16
rev01/12/12_20201112 (179).JPG,egyptian mongoose,rev01,12,12,autumn,morning,2020-11-12 10:22:19,17
rev01/12/12_20201116 (198).JPG,red fox,rev01,12,12,autumn,night,2020-11-16 21:24:46,18
rev01/12/12_20201116 (199).JPG,red fox,rev01,12,12,autumn,night,2020-11-16 21:24:47,18
rev01/12/12_20201116 (200).JPG,red fox,rev01,12,12,autumn,night,2020-11-16 21:24:48,18
rev01/12/12_20201116 (208).JPG,red fox,rev01,12,12,autumn,night,2020-11-16 21:24:57,18
rev01/12/12_20201116 (210).JPG,red fox,rev01,12,12,autumn,night,2020-11-16 21:24:58,18
rev01/12/12_20201116 (214).JPG,red fox,rev01,12,12,autumn,night,2020-11-16 21:25:03,18
rev01/12/12_20201116 (216).JPG,red fox,rev01,12,12,autumn,night,2020-11-16 21:25:04,18
rev01/12/12_20201118 (221).JPG,human,rev01,12,12,autumn,morning,2020-11-18 09:23:16,19
rev01/12/12_20201118 (223).JPG,human,rev01,12,12,autumn,morning,2020-11-18 09:23:19,19
rev01/12/12_20201118 (226).JPG,human,rev01,12,12,autumn,morning,2020-11-18 09:23:21,19
rev01/13/13_20201025 (1).JPG,human,rev01,13,13,autumn,evening,2020-10-25 16:07:32,20
rev01/13/13_20201025 (2).JPG,human,rev01,13,13,autumn,evening,2020-10-25 16:07:32,20
rev01/13/13_20201025 (3).JPG,human,rev01,13,13,autumn,evening,2020-10-25 16:07:32,20
rev01/13/13_20201025 (12).JPG,human,rev01,13,13,autumn,evening,2020-10-25 16:07:40,20
rev01/13/13_20201025 (13).JPG,human,rev01,13,13,autumn,evening,2020-10-25 16:07:41,20
rev01/13/13_20201025 (34).JPG,human,rev01,13,13,autumn,evening,2020-10-25 16:08:00,20
rev01/13/13_20201025 (51).JPG,human,rev01,13,13,autumn,evening,2020-10-25 16:08:12,20
rev01/13/13_20201025 (102).JPG,human,rev01,13,13,autumn,evening,2020-10-25 16:09:41,20
